[C3H8],
[C3H8]-->[ipropyl]-->[ipropyloxy]-->[acetaldehyde],
[C3H8]-->[ipropyl]-->[ipropylooh],
[C3H8]-->[npropyl]-->[prod_1]-->[frag_1]-->[vinoxy]-->[CO],
[C3H8]-->[ipropyl]-->[ipropylooh]-->[ipropyloxy]-->[acetaldehyde],
[C3H8]-->[ipropyl]-->[C3H6],
[C3H8]-->[npropyl]-->[prod_1],
[C3H8]-->[npropyl]-->[prod_1]-->[frag_1]-->[CH2O],
[C3H8]-->[npropyl]-->[prod_1]-->[frag_1]-->[vinoxy]-->[CH2O],
[C3H8]-->[ipropyl]-->[ipropyloxy]-->[CH3]-->[CH3OOH],
[C3H8]-->[npropyl]-->[npropyloxy]-->[C2H5]-->[CH3CH2OOH],
[C3H8]-->[npropyl]-->[npropyloxy]-->[CH2O],
[C3H8]-->[npropyl]-->[npropylooh],
[C3H8]-->[ipropylooh]-->[ipropyloxy]-->[acetaldehyde],
[C3H8]-->[CH3OOH],
[C3H8]-->[CH3CH2OOH],
[C3H8]-->[ipropyl]-->[ipropyloxy]-->[CH3]-->[CH3O]-->[CH2O],
[C3H8]-->[ipropylooh],
[C3H8]-->[npropyl]-->[npropylooh]-->[npropyloxy]-->[C2H5]-->[CH3CH2OOH],
[C3H8]-->[ipropyl]-->[CH3O]-->[CH2O],
